Title,Production company,Release date,Running time,Country,Language,Box office,Metascore,imdbRating,Rotten_Tomatoes,Genre,Rated,BoxOffice_Api,Type,Directed by,Produced by,Written by,Based on,Starring,Music by,Distributed by,Budget,Story by,Narrated by,Cinematography,Edited by,Languages,Screenplay by,Countries,Production companies,Created by,Country of origin,No.  of seasons,No.  of episodes,Executive producers,Original network,Picture format,Audio format,Original release,Related shows,Japanese,Hepburn,Adaptation by,Animation by,Traditional,Simplified
Academy Award Review of Walt Disney Cartoons,['Walt Disney Productions'],"['May 19, 1937 (1937-05-19)']",['41 minutes (74 minutes 1966 release)'],['United States'],['English'],['$45.472'],N/A,7.1,,"Animation, Short, Comedy, Family",Approved,N/A,movie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snow White and the Seven Dwarfs,['Walt Disney Productions'],"['December 21, 1937 (1937-12-21) (Carthay Circle Theatre, Los Angeles, CA, premiere)']",['83 minutes'],['United States'],['English'],['$418 million[2]'],95,7.6,,"Animation, Family, Fantasy, Musical, Romance",Approved,"$184,925,486",movie,"['David Hand (supervising)', 'William Cottrell', 'Wilfred Jackson', 'Larry Morey', 'Perce Pearce', 'Ben Sharpsteen']",['Walt Disney'],"['Ted Sears', 'Richard Creedon', 'Otto Englander', 'Dick Rickard', 'Earl Hurd', 'Merrill De Maris', 'Dorothy Ann Blank', 'Webb Smith']",['Snow Whiteby The Brothers Grimm'],"['Adriana Caselotti', 'Lucille La Verne', 'Harry Stockwell', 'Roy Atwell', 'Pinto Colvig', 'Otis Harlan', 'Scotty Mattraw', 'Billy Gilbert', 'Eddie Collins', 'Moroni Olsen', 'Stuart Buchanan']","['Frank Churchill', 'Paul Smith', 'Leigh Harline']",['RKO Radio Pictures'],['$1.49 million[1]'],,,,,,,,,,,,,,,,,,,,,,,,
Pinocchio,['Walt Disney Productions'],"['February 7, 1940 (1940-02-07) (Center Theatre)[1]', 'February 23, 1940 (1940-02-23) (United States)[2]']",['88 minutes'],['United States'],['English'],['$164 million'],99,7.4,73%,"Animation, Comedy, Family, Fantasy, Musical",G,"$84,254,167",movie,['Supervising DirectorsBen SharpsteenHamilton LuskeSequence DirectorsBill RobertsNorman FergusonJack KinneyWilfred JacksonT. Hee'],['Walt Disney'],,['The Adventures of Pinocchioby Carlo Collodi'],"['Cliff Edwards', 'Dickie Jones', 'Christian Rub', 'Walter Catlett', 'Charles Judels', 'Evelyn Venable', 'Frankie Darro', 'Clarence Nash', 'Mel Blanc']",['Leigh HarlinePaul J. Smith'],['RKO Radio Pictures'],['$2.6 million[3]'],['Ted SearsOtto EnglanderWebb SmithWilliam CottrellJoseph SaboErdman PennerAurelius Battaglia'],,,,,,,,,,,,,,,,,,,,,,,
Fantasia,['Walt Disney Productions'],"['November 13, 1940 (1940-11-13)']",['126 minutes[1]'],['United States'],['English'],['$76.4–$83.3 million[4][5]'],96,7.7,95%,"Animation, Family, Fantasy, Music, Musical",G,"$76,408,097",movie,"['Samuel Armstrong', 'James Algar', 'Bill Roberts', 'Paul Satterfield', 'Ben Sharpsteen', 'David D. Hand', 'Hamilton Luske', 'Jim Handley', 'Ford Beebe', 'T. Hee', 'Norman Ferguson', 'Wilfred Jackson']","['Walt Disney', 'Ben Sharpsteen']",,,"['Leopold Stokowski', 'Deems Taylor']",['See program'],['RKO Radio Pictures'],['$2.28 million[2][3]'],"['Joe Grant', 'Dick Huemer']",['Deems Taylor'],['James Wong Howe'],,,,,,,,,,,,,,,,,,,,,
The Reluctant Dragon,['Walt Disney Productions'],"['June 20, 1941 (1941-06-20)[1]']",['74 minutes'],['United States'],['English'],"['$960,000 (worldwide rentals) [3]']",N/A,6.9,67%,"Animation, Comedy, Family",Approved,"$872,000",movie,"['Alfred Werker (live action)Hamilton Luske (animation)Jack Cutting, Ub Iwerks, Jack Kinney (sequence directors)']",['Walt Disney'],['Live-action:Ted SearsAl PerkinsLarry ClemmonsBill CottrellHarry ClorkRobert Benchley The Reluctant Dragon segment:Kenneth Grahame (original book)Erdman PennerT. HeeBaby Weems segment:Joe GrantDick HuemerJohn Miller'],,['Robert BenchleyFrances GiffordBuddy PepperNana Bryant'],['Frank ChurchillLarry Morey'],['RKO Radio Pictures'],"['$600,000[2]']",,,['Bert Giennon'],['Paul Weatherwax'],,,,,,,,,,,,,,,,,,,,
Dumbo,['Walt Disney Productions'],"['October 23, 1941 (1941-10-23) (New York City)[1]', 'October 31, 1941 (1941-10-31) (U.S.)']",['64 minutes'],['United States'],['English'],"['$1.3 million (est. United States/Canada rentals, 1941)[3]']",96,7.2,98%,"Animation, Drama, Family, Musical",G,N/A,movie,['Ben Sharpsteen (supervising director)Norman FergusonWilfred JacksonBill RobertsJack KinneySamuel Armstrong'],['Walt Disney'],,"['Dumbo, the Flying Elephantby Helen AbersonHarold Pearl']","['Edward Brophy', 'Herman Bing', 'Margaret Wright', 'Sterling Holloway', 'Verna Felton', 'Cliff Edwards', 'James Baskett', 'Nick Stewart', 'Hall Johnson Choir']",['Frank ChurchillOliver Wallace'],['RKO Radio Pictures'],"['$950,000[2]']",['Otto EnglanderJoe GrantDick Huemer'],['John McLeish'],,,,,,,,,,,,,,,,,,,,,,
Bambi,['Walt Disney Productions'],"['August 9, 1942 (1942-08-09) (World Premiere-London)', 'August 13, 1942 (1942-08-13) (Premiere-New York City)', 'August 21, 1942 (1942-08-21) (U.S.)[1]']",['70 minutes'],['United States'],['English'],['$267.4 million[3]'],91,7.3,90%,"Animation, Drama, Family",G,"$102,247,150",movie,['Supervising directorDavid HandSequence directorsJames AlgarSamuel ArmstrongGraham HeidBill RobertsPaul SatterfieldNorman Wright'],['Walt Disney'],,"['Bambi, a Life in the Woodsby Felix Salten']",['see below'],['Frank ChurchillEdward H. Plumb'],['RKO Radio Pictures'],"['$858,000[2]']",['Story directionPerce PearceStory adaptationLarry MoreyStory developmentVernon StallingsMelvin ShawCarl FallbergChuck CouchRalph Wright'],,,,,,,,,,,,,,,,,,,,,,,
Saludos Amigos,['Walt Disney Productions'],"['August 24, 1942 (1942-08-24) (World Premiere-Rio de Janeiro)', 'February 6, 1943 (1943-02-06) (U.S. Premiere-Boston)', 'February 19, 1943 (1943-02-19) (U.S.)[1]']",['42 minutes'],['United States'],,"['$1,135,000 (worldwide rentals) [2]']",60,6.1,,"Animation, Short, Adventure, Comedy, Family, Fantasy, Music",Passed,N/A,movie,"['Norman Ferguson', 'Wilfred Jackson', 'Jack Kinney', 'Hamilton Luske', 'Bill Roberts']",['Walt Disney'],,,"['Lee Blair', 'Mary Blair', 'Pinto Colvig', 'Walt Disney', 'Norman Ferguson', 'Frank Graham', 'Clarence Nash', 'José Oliveira', 'Frank Thomas']","['Paul Smith', 'Edward H. Plumb']",['RKO Radio Pictures'],,"['Homer Brightman', 'William Cottrell', 'Richard Huemer', 'Joe Grant', 'Harold Reeves', 'Ted Sears', 'Webb Smith', 'Roy Williams', 'Ralph Wright']",['Fred Shields'],,,"['English', 'Portuguese', 'Spanish']",,,,,,,,,,,,,,,,,,,
Victory Through Air Power,['Walt Disney Productions'],"['July 17, 1943 (1943-07-17)']",['65 min.'],['United States'],['English'],"['$799,000']",N/A,6.5,54%,"Documentary, Animation, History, War",N/A,N/A,movie,['Animated sequences: James Algar  Clyde Geronimi  Jack Kinney  de Seversky scenes:  H.C. Potter'],['Walt Disney'],['Story direction:  Perce Pearce  Story adaptation:  T. Hee  Erdman Penner Bill Cottrell  James Brodero   George Stallings  Jose Rodriguez'],['Victory Through Air Power by Maj. Alexander P. Seversky'],['Alexander de Seversky'],['Edward H. Plumb  Paul J. Smith  Oliver Wallace'],['United Artists'],"['$788,000']",,['Art Baker'],['Ray Rennahan'],['Jack Dennis'],,,,,,,,,,,,,,,,,,,,
The Three Caballeros,['Walt Disney Productions'],"['December 21, 1944 (1944-12-21) (Mexico City)', 'February 3, 1945 (1945-02-03) (US)[1]']",['71 minutes'],['United States'],,"['$3,355,000 (worldwide rentals) [2]']",85,6.4,82%,"Animation, Comedy, Family, Fantasy, Musical",Approved,N/A,movie,"['Norman Ferguson (supervising director)', 'Clyde Geronimi', 'Jack Kinney', 'Bill Roberts', 'Harold Young (sequence directors)']",['Walt Disney'],,,"['Clarence Nash', 'José Oliveira', 'Joaquin Garay']","['Edward H. Plumb', 'Paul J. Smith', 'Charles Wolcott']",['RKO Radio Pictures'],,"['Homer Brightmen', 'Ernest Terrazas', 'Ted Sears', 'Bill Peet', 'Ralph Wright', 'Elmer Plummer', 'Roy Williams', 'William Cottrell', 'Del Connell', 'James Bodrero']",,,,"['English', 'Spanish', 'Portuguese']",,,,,,,,,,,,,,,,,,,
